Project,hole_id,y,x,z,max_depth
CM,CM06,8715608.941,559037.842,1250.074,55
CM,CM07,8715550.71,559062.455,1248.66,40
CM,CM09,8715585.39,559079.912,1250.089,60
CM,CM10,8715613.343,559095.373,1255.485,70
CM,CM12,8715533.438,559109.263,1252.218,50
CM,CM13,8715563.851,559126.023,1251.901,50
CM,CM15,8715586.566,559138.008,1252.643,52
CM,CM16,8715609.291,559149.956,1255.244,60
CM,CM17,8715481.272,559136.054,1247.089,50.5
CM,CM19,8715518.723,559156.998,1252.043,95
CM,CM21,8715563.056,559183.201,1255.051,71.5
CM,CM23,8715592.909,559200.3,1255.148,65.5
CM,CM29,8715530.702,559222.186,1251.948,61
CM,CM31,8715560.463,559237.535,1255.005,70
CM,CM33,8715596.794,559256.51,1255.236,56.5
CM,CM34,8715425.112,559277.757,1235.026,65.5
CM,CM36,8715472.829,559304.73,1242.46,65.5
CM,CM37,8715493.304,559313.4,1242.704,62.5
CM,CM40,8715379.953,559311.13,1234.957,37.2
CM,CM43,8715448.974,559348.945,1241.79,50.5
CM,CM44,8715496.643,559375.554,1242.505,71.5
CM,CM49,8715389.96,559372.648,1242.215,71.5
CM,CM51,8715431.138,559395.182,1242.871,50.5
CM,CM52,8715458.89,559411.042,1242.559,50.5
CM,CM55,8715508.751,559437.747,1247.664,65.5
CM,CM57,8715355,559410.996,1237.645,60.5
CM,CM58,8715375.95,559421.989,1237.62,83.5
CM,CM64,8715320.922,559447.335,1239.983,53.5
MR,MR 10,8715634.065,558820.402,1283,64
MR,MR 102,8714812.825,559916.475,1274,63
MR,MR 103,8714716.897,559906.33,1275,91
MR,MR 104,8714833.647,560022.445,1273,60
MR,MR 105,8714613.932,559922.159,1275,196.8
MR,MR 106,8714710.698,560035.245,1272,82
MR,MR 107,8714752.639,560057.298,1272,40
MR,MR 109,8714696.656,560067.204,1271,80
MR,MR 11,8715695.974,558855.479,1282,77
MR,MR 113,8714586.638,560120.001,1268,51
MR,MR 17,8715639.869,558943.34,1281,91
MR,MR 19,8715623.809,558987.289,1280,70
MR,MR 20,8715626.709,559050.257,1283,305
MR,MR 24,8715641.516,559167.212,1280,60
MR,MR 25,8715302.829,559093.723,1282,221
MR,MR 26,8715452.073,559520.708,1280,34
MR,MR 27,8715565.268,559353.983,1277,57
MR,MR 28,8715214.687,559217.513,1280,231
MR,MR 31,8715144.604,559296.357,1281,176
MR,MR 32,8715533.053,559502.846,1280,50
MR,MR 33,8715136.439,559404.281,1280,127
MR,MR 34,8715359.234,559526.034,1273.5,50
MR,MR 35,8715222.215,559515.351,1275,70
