Project,hole_id,depth_from,depth_to,ModelStratigraphy
CM,CM06,0,1.8,CMN WAD
CM,CM06,1.8,5.4,CMN
CM,CM06,5.4,10.1,CMN WAD
CM,CM06,10.1,11.4,CMN
CM,CM06,11.4,14.5,CMN WAD
CM,CM06,14.5,55,CMN
CM,CM07,0,3.2,SOIL
CM,CM07,3.2,8.5,CMN
CM,CM07,8.5,13.7,CMN WAD
CM,CM07,13.7,40,CMN
CM,CM09,0,25,CMN
CM,CM09,25,26.4,CMN WAD
CM,CM09,26.4,28.7,CMN
CM,CM09,28.7,32.1,CMN WAD
CM,CM09,32.1,34.9,CMN
CM,CM09,34.9,43,CMN WAD
CM,CM09,43,47.5,CMN
CM,CM09,47.5,49,CMN WAD
CM,CM09,49,60,CMN
CM,CM10,0,16,CMN
CM,CM10,16,17.5,CMN WAD
CM,CM10,17.5,70,CMN
CM,CM12,0,8.5,CMN
CM,CM12,8.5,17.5,CMN WAD
CM,CM12,17.5,50,CMN
CM,CM13,0,28.2,CMN WAD
CM,CM13,28.2,50,CMN
CM,CM15,0,17,CMN
CM,CM15,17,19,CMN WAD
CM,CM15,19,26.5,CMN
CM,CM15,26.5,28.5,CMN WAD
CM,CM15,28.5,30,CMN
CM,CM15,30,35.5,CMN WAD
CM,CM15,35.5,43,CMN
CM,CM15,43,44.6,CMN WAD
CM,CM15,44.6,49.2,CMN
CM,CM15,49.2,50.5,CMN WAD
CM,CM15,50.5,52,CMN
CM,CM16,0,3.5,CMN WAD
CM,CM16,3.5,31.3,CMN
CM,CM16,31.3,60,CMN
CM,CM17,0,4.2,SOIL
CM,CM17,4.2,16.5,CMN WAD
CM,CM17,16.5,50.5,CMN
CM,CM19,0,28.2,CMN
CM,CM19,28.2,30.7,CMN WAD
CM,CM19,30.7,35.4,CMN
CM,CM19,35.4,45.3,CMN WAD
CM,CM19,45.3,53,CMN
CM,CM19,53,56.3,CMN WAD
CM,CM19,56.3,64.8,CMN
CM,CM19,64.8,68,CMN WAD
CM,CM19,68,75.3,CMN
CM,CM19,75.3,79.7,CMN WAD
CM,CM19,79.7,95,CMN
CM,CM21,0,71.5,CMN
CM,CM23,0,65.5,CMN
CM,CM29,0,2.5,CMN
CM,CM29,3.7,8,CMN
CM,CM29,8,10,CMN WAD
CM,CM29,10,61,CMN
CM,CM31,0,70,CMN
CM,CM33,0,56.5,CMN
CM,CM34,0,4.3,BOMZ
CM,CM34,4.3,65.5,CMN
CM,CM36,0,4.5,SOIL
CM,CM36,4.5,65.5,CMN
CM,CM37,0,62.5,CMN
CM,CM40,0,16.2,BOMZ
CM,CM40,16.2,37.2,CMN
CM,CM43,0,50.5,CMN
CM,CM44,0,71.5,CMN
CM,CM49,0,71.5,CMN
CM,CM51,0,50.5,CMN
CM,CM52,0,50.5,CMN
CM,CM55,0,2.5,SOIL
CM,CM55,2.5,65.5,CMN
CM,CM57,0,2.5,CMN
CM,CM57,2.5,4.5,CMN WAD
CM,CM57,4.5,14.5,CMN
CM,CM57,14.5,25.5,CMN WAD
CM,CM57,25.5,26.5,BRECCIA
CM,CM57,26.5,60.5,CMN
CM,CM58,0,32.5,CMN
CM,CM58,32.5,38.8,BRECCIA
CM,CM58,38.8,40.7,CMN
CM,CM58,40.7,52.5,BRECCIA
CM,CM58,52.5,83.5,CMN
CM,CM64,0,3.1,BOMZ
CM,CM64,3.1,6,CMN WAD
CM,CM64,6,53.5,CMN
MR,MR 10,0,24,LATERITE
MR,MR 10,24,64,CMN
MR,MR 102,0,9,LATERITE
MR,MR 102,9,15,CMN
MR,MR 102,15,20,RGS
MR,MR 102,20,41,CMN
MR,MR 102,41,63,RGS
MR,MR 103,0,28,SOIL
MR,MR 103,28,75,RAT
MR,MR 103,75,81,RSF/DSTRAT
MR,MR 103,81,91,RSC
MR,MR 104,0,1,SOIL
MR,MR 104,1,2,SOIL
MR,MR 104,2,3,SOIL
MR,MR 104,3,4,SOIL
MR,MR 104,4,5,SOIL
MR,MR 104,5,6,SOIL
MR,MR 104,6,7,SOIL
MR,MR 104,7,8,SOIL
MR,MR 104,8,9,SOIL
MR,MR 104,9,10,CMN
MR,MR 104,10,11,CMN
MR,MR 104,11,12,CMN
MR,MR 104,12,13,CMN
MR,MR 104,13,14,CMN
MR,MR 104,14,15,CMN
MR,MR 104,15,16,CMN
MR,MR 104,16,17,CMN
MR,MR 104,17,18,CMN
MR,MR 104,18,19,CMN
MR,MR 104,19,20,CMN
MR,MR 104,20,21,CMN
MR,MR 104,21,22,CMN
MR,MR 104,22,23,CMN
MR,MR 104,23,24,CMN
MR,MR 104,24,25,CMN
MR,MR 104,25,26,CMN
MR,MR 104,26,27,CMN
MR,MR 104,27,28,CMN
MR,MR 104,28,29,CMN
MR,MR 104,29,30,CMN
MR,MR 104,30,31,CMN
MR,MR 104,31,32,CMN
MR,MR 104,32,33,CMN
MR,MR 104,33,34,CMN
MR,MR 104,34,35,CMN
MR,MR 104,35,36,CMN
MR,MR 104,36,37,CMN
MR,MR 104,37,38,CMN
MR,MR 104,38,39,CMN
MR,MR 104,39,40,CMN
MR,MR 104,40,41,CMN
MR,MR 104,41,42,CMN
MR,MR 104,42,43,CMN
MR,MR 104,43,44,CMN
MR,MR 104,44,45,CMN
MR,MR 104,45,46,CMN
MR,MR 104,46,47,CMN
MR,MR 104,47,48,CMN
MR,MR 104,48,49,CMN
MR,MR 104,49,50,CMN
MR,MR 104,50,51,CMN
MR,MR 104,51,52,CMN
MR,MR 104,52,53,CMN
MR,MR 104,53,54,CMN
MR,MR 104,54,55,CMN
MR,MR 104,55,56,CMN
MR,MR 104,56,57,CMN
MR,MR 104,57,58,CMN
MR,MR 104,58,59,CMN
MR,MR 104,59,60,CMN
MR,MR 105,181,196.8,CMN
MR,MR 105,0,25,LATERITE
MR,MR 105,25,121,RAT
MR,MR 105,121,127.4,RSF/DSTRAT
MR,MR 105,127.4,142,RSC
MR,MR 105,142,156,SD
MR,MR 105,156,181,SD
MR,MR 106,0,9,LATERITE
MR,MR 106,9,35,CMN
MR,MR 106,35,44,SD
MR,MR 106,44,70,SD
MR,MR 106,70,82,CMN
MR,MR 107,0,14,LATERITE
MR,MR 107,14,40,CMN
MR,MR 109,0,30,LATERITE
MR,MR 109,30,56,SD
MR,MR 109,56,80,CMN
MR,MR 11,0,10,LATERITE
MR,MR 11,10,77,CMN
MR,MR 113,0,45,LATERITE
MR,MR 113,45,51,SD
MR,MR 17,0,13,SOIL
MR,MR 17,13,45,CMN
MR,MR 17,45,71,SD
MR,MR 17,71,82,RGS
MR,MR 17,82,89,SD
MR,MR 19,0,10,LATERITE
MR,MR 19,10,70,CMN
MR,MR 20,0,21,LATERITE
MR,MR 20,21,147,CMN
MR,MR 20,147,157.7,SD
MR,MR 20,157.7,178,SD
MR,MR 20,178,184,SD
MR,MR 20,184,211,SD
MR,MR 20,211,270,RSC
MR,MR 20,270,287,RSF/DSTRAT
MR,MR 20,287,299,RSF/DSTRAT
MR,MR 20,299,299.1,MV
MR,MR 20,299.1,305,RAT
MR,MR 24,0,15,LATERITE
MR,MR 24,15,60,CMN
MR,MR 25,0,8,LATERITE
MR,MR 25,8,111,RAT
MR,MR 25,111,123.35,MV
MR,MR 25,123.35,136.3,RSF/DSTRAT
MR,MR 25,136.3,221,BRECCIA
MR,MR 26,0,17,LATERITE
MR,MR 26,17,34,CMN
MR,MR 27,0,24,LATERITE
MR,MR 27,24,57,CMN
MR,MR 28,0,112,
MR,MR 28,112,129.9,RAT
MR,MR 28,129.9,130,MV
MR,MR 28,130,135,RSF/DSTRAT
MR,MR 28,135,141.5,RSF/DSTRAT
MR,MR 28,141.5,158,RSC
MR,MR 28,158,161.5,SD
MR,MR 28,161.5,231,SD
MR,MR 31,0,12,LATERITE
