Project,hole_id,depth,azimuth,dip
CM,CM06,30,0,-90
CM,CM06,0,0,-90
CM,CM07,30,0,-90
CM,CM09,30,0,-90
CM,CM10,30,0,-90
CM,CM12,30,0,-90
CM,CM13,30,0,-90
CM,CM15,30,0,-90
CM,CM16,30,0,-90
CM,CM17,30,0,-90
CM,CM19,0,0,-90
CM,CM19,30,0,-90
CM,CM21,30,0,-90
CM,CM23,60,0,-90
CM,CM23,30,0,-90
CM,CM23,0,0,-90
CM,CM29,0,0,-90
CM,CM31,0,0,-90
CM,CM33,0,0,-90
CM,CM34,30,0,-90
CM,CM34,0,0,-90
CM,CM36,30,0,-90
CM,CM37,30,0,-90
CM,CM40,30,0,-90
CM,CM43,0,0,-90
CM,CM43,30,0,-90
CM,CM43,50,0,-90
CM,CM44,30,0,-90
CM,CM49,30,0,-90
CM,CM49,50,0,-90
CM,CM51,0,0,-90
CM,CM52,30,0,-90
CM,CM55,0,0,-90
CM,CM57,0,0,-90
CM,CM58,80,0,-90
CM,CM64,30,0,-90
CM,CM64,53,0,-90
MR,MR 10,64,0,-90
MR,MR 102,63,0,-90
MR,MR 103,91,0,-90
MR,MR 104,60,0,-90
MR,MR 105,0,0,-90
MR,MR 105,70.4,0,-90
MR,MR 105,163.4,0,-90
MR,MR 105,133.4,0,-90
MR,MR 105,100.4,0,-90
MR,MR 105,193.4,0,-90
MR,MR 106,82,0,-90
MR,MR 107,40,0,-90
MR,MR 109,80,0,-90
MR,MR 11,77,0,-90
MR,MR 113,50,0,-90
MR,MR 17,91,0,-90
MR,MR 19,70,0,-90
MR,MR 20,124.8,0,-90
MR,MR 20,292.8,0,-90
MR,MR 20,166.8,0,-90
MR,MR 20,208.8,0,-90
MR,MR 20,250.8,0,-90
MR,MR 20,0,0,-90
MR,MR 24,60,0,-90
MR,MR 25,0,0,-90
MR,MR 25,127.8,0,-90
MR,MR 25,189.8,0,-90
MR,MR 25,157.8,0,-90
MR,MR 25,97.8,0,-90
MR,MR 25,217.8,0,-90
MR,MR 26,34,0,-90
MR,MR 27,57,0,-90
MR,MR 28,224.3,0,-90
MR,MR 28,200.3,0,-90
MR,MR 28,0,0,-90
MR,MR 28,176.3,0,-90
MR,MR 28,146.3,0,-90
MR,MR 28,116.3,0,-90
MR,MR 31,172.8,0,-90
MR,MR 31,154.8,0,-90
MR,MR 31,118.8,0,-90
MR,MR 31,136.8,0,-90
MR,MR 31,97.8,0,-90
MR,MR 31,0,0,-90
MR,MR 32,42,0,-90
MR,MR 33,0,0,-90
MR,MR 34,50,0,-90
MR,MR 35,70,0,-90
MR,MR 36,51,0,-90
MR,MR 37,60,0,-90
MR,MR 40,60,0,-90
MR,MR 41,70,0,-90
MR,MR 42,70,0,-90
MR,MR 56,62,0,-90
MR,MR 57,21,0,-90
MR,MR 58,49,0,-90
MR,MR 62,60,0,-90
MR,MR 63,60,0,-90
MR,MR 66,57,0,-90
MR,MR 69,60,0,-90
MR,MR 72,80,0,-90
MR,MR 73,70,0,-90
MR,MR 74,44,0,-90
MR,MR 75,65,0,-90
MR,MR 77,51,0,-90
MR,MR 78,70,0,-90
MR,MR 79,65,0,-90
OXS,OXS02,0,0,-90
OXS,OXS04,0,0,-90
OXY,OXY02,30,0,-90
OXY,OXY08,0,0,-90
RPD,RPD01,0,0,-90
RPD,RPD03,0,0,-90
RPD,RPD04,0,0,-90
RPD,RPD05,0,0,-90
RPD,RPD06,0,0,-90
RPD,RPD08,0,0,-90
RPD,RPD11,0,0,-90
RPD,RPD110,80,0,-90
RPD,RPD110,43,0,-90
RPD,RPD110,0,0,-90
RPD,RPD113,40,0,-90
RPD,RPD113,0,0,-90
RPD,RPD114,61,0,-90
RPD,RPD114,40,0,-90
RPD,RPD114,0,0,-90
RPD,RPD114,10,0,-90
RPD,RPD116,0,0,-90
RPD,RPD119,313,0,-90
RPD,RPD119,210,0,-90
RPD,RPD119,270,0,-90
RPD,RPD119,240,0,-90
RPD,RPD119,180,0,-90
RPD,RPD119,150,0,-90
RPD,RPD119,120,0,-90
RPD,RPD119,90,0,-90
RPD,RPD119,60,0,-90
RPD,RPD119,30,0,-90
RPD,RPD119,0,0,-90
RPD,RPD121,200,0,-90
RPD,RPD121,180,0,-90
RPD,RPD121,150,0,-90
RPD,RPD121,120,0,-90
RPD,RPD121,90,0,-90
RPD,RPD121,60,0,-90
RPD,RPD121,0,0,-90
RPD,RPD121,30,0,-90
RPD,RPD123,0,0,-90
RPD,RPD125,60,0,-90
RPD,RPD125,10,0,-90
RPD,RPD125,120,0,-90
RPD,RPD125,30,0,-90
